name,price,rating,url
Coffee and Walnut Cake Selector,5.8500000000000005,87,https://hotelchocolat.com/uk/coffee-walnut-cake-chocolate.html
Tipples & Treats: Chocolate Velvetised Cream & Macarons Collection,35.1,20,https://hotelchocolat.com/uk/chocolate-cream-macarons.html
Gianduja Bombe Selector,5.8500000000000005,90,https://hotelchocolat.com/uk/gianduja-bombe-selector.html
Gin and Liqueurs Collection,15.600000000000001,0,https://hotelchocolat.com/uk/gin-little-tipples.html
Fruit & Nut Chocolate Slab Selector,5.8500000000000005,89,https://hotelchocolat.com/uk/fruit-nut-chocolates.html
White Chocolate Batons,9.75,98,https://hotelchocolat.com/uk/white-chocolate-batons.html
Velvetiser Devotee: Me & Mine Collection,46.410000000000004,0,https://hotelchocolat.com/uk/me-mine-collection-x.html
Caramel & Co Chocolate Bar Selector,5.8500000000000005,90,https://hotelchocolat.com/uk/caramel-and-co.html
The Velvetised Cream Collection,15.600000000000001,100,https://hotelchocolat.com/uk/the-velvetised-cream-collection.html
Cacao Gin 500ml,33.800000000000004,88,https://hotelchocolat.com/uk/cacao-gin.html
Mint Chocolate Royale Selector,5.8500000000000005,92,https://hotelchocolat.com/uk/mint-royale-selector.html
Kirsch Cherries: Cherry Liqueur Chocolates,13.0,91,https://hotelchocolat.com/uk/kirsch-cherries.html
Gianduja Chocolate Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/gianduja-praline.html
Billionaire Shortbread Chocolate Selector,5.8500000000000005,93,https://hotelchocolat.com/uk/billionaire-shortbread-chocolate.html
Amaretto Truffles Selector,5.8500000000000005,92,https://hotelchocolat.com/uk/amaretto-amour-selector.html
Dark Chocolate Fruit & Nut 80% Selector,5.8500000000000005,79,https://hotelchocolat.com/uk/dark-fruit-and-nut.html
The Patisserie Collection Selector,5.8500000000000005,95,https://hotelchocolat.com/uk/patisserie-collection.html
Hug Coffee Cup,15.600000000000001,93,https://hotelchocolat.com/uk/hug-coffee-cup.html
85% Dark Chocolate Batons,9.75,96,https://hotelchocolat.com/uk/85-dark-chocolate.html
40% Milk Chocolate Slab,5.8500000000000005,90,https://hotelchocolat.com/uk/mellow-milk-chocolate-slab.html
Salted Espresso Martini Chocolate Selector,5.8500000000000005,94,https://hotelchocolat.com/uk/salted-espresso-martini.html
Orange Wafer Batons,9.75,92,https://hotelchocolat.com/uk/chocolate-orange-batons-bars.html
Raspberry Chocolate Bar Selector,5.8500000000000005,100,https://hotelchocolat.com/uk/raspberry-riot-selector-slab.html
Dark Chocolate Rum Truffles Selector,5.8500000000000005,93,https://hotelchocolat.com/uk/dark-rum-truffles-selector.html
